12 Clone Repo local,1000,1160
13 Copy New Artifacts to repo,2000,32
14 Execute Add command,2000,151
15 Execute Commit Command,2000,155
16 Push Repo to origin,2000,1037
Click Project Link,2000,623
Click Review Button,2000,1369
Click Start Review,2000,1224
Landing Page,2000,2591
Login & Home Page,2000,1778
Logout,2000,1146
Navigate to Activity Page,2000,644
Navigate to HistoryPage,2000,964
Navigate to project Page,2000,3560
Save the New repo,2000,519
Save the project,2000,173
Search,2000,1486
